trading_date,n_candidates,n_trades,daily_return,equity,year
2020-05-07,4,3,-0.009053156817593888,0.9909468431824061,2020
2020-05-08,4,3,0.00827146176432736,0.9991434221062703,2020
2020-05-11,4,3,0.00371082445147101,1.0028510679475486,2020
2020-05-12,4,3,-0.00586909776084595,0.9969652369901957,2020
2020-05-13,4,3,-0.0078632231201754,0.9891258768886833,2020
2020-05-14,4,3,-0.01283124877470565,0.9764341566928257,2020
2020-05-15,4,3,-0.007733912887223138,0.9688824999848542,2020
2020-05-18,4,3,-0.01311459698570209,0.9561759964710533,2020
2020-05-19,4,3,0.010411598971671173,0.9661313174926479,2020
2020-05-20,4,3,0.0038119774531978345,0.9698141882917581,2020
2020-05-21,4,3,-0.011627920712861414,0.9585372658040935,2020
2020-05-22,4,3,-0.032135204381285254,0.9277344748604006,2020
2020-05-25,4,3,-0.003440058135121752,0.9245430143329242,2020
2020-05-26,4,3,0.02553881227563141,0.9481547448167192,2020
2020-05-27,4,3,-0.00262184550992565,0.9456688295563068,2020
2020-05-28,4,3,-0.0013369624719419642,0.9444045058203048,2020
2020-05-29,4,3,-0.00636455204283215,0.9383937941935263,2020
2020-06-01,4,3,0.028847069372906525,0.965463705073732,2020
2020-06-02,4,3,0.0007987876868759495,0.9662349055934706,2020
2020-06-03,4,3,0.00010837257680932726,0.966339618959993,2020
2020-06-04,4,3,0.003917134346243967,0.9701249010715574,2020
2020-06-05,4,3,0.0045660951701627095,0.9745545836967948,2020
2020-06-08,4,3,0.0056880782850766325,0.9800979264619424,2020
2020-06-09,4,3,0.006524062610463417,0.9864921466985656,2020
2020-06-10,4,3,-0.0023482140417986352,0.9841756519875638,2020
2020-06-11,4,3,-0.021975192722312336,0.9625482023625298,2020
2020-06-12,4,3,-0.00786677023856297,0.954976056811002,2020
2020-06-15,4,3,-0.016849084140111326,0.9388855848780017,2020
2020-06-16,4,3,0.01951540226251332,0.9572083147453709,2020
2020-06-17,4,3,-0.004274035005218317,0.9531171729008632,2020
2020-06-18,4,3,0.003950897849365827,0.9568828414894709,2020
2020-06-19,4,3,0.02407926351084222,0.9799238755786993,2020
2020-06-22,4,3,-0.001520037164695472,0.9784343548692472,2020
2020-06-23,3,3,-0.006201554916702934,0.9723665404851368,2020
2020-06-24,3,3,0.0235820108248271,0.9952968987685569,2020
2020-06-29,3,3,-0.0048538131881924835,0.990465913555147,2020
2020-06-30,3,3,0.012028859184632479,1.0023800885564802,2020
2020-07-01,3,3,0.014853051783007701,1.0172684919180655,2020
2020-07-02,4,3,0.014644786190319947,1.032166171480355,2020
2020-07-03,4,3,0.007568315816397719,1.0399779310411204,2020
2020-07-06,3,3,0.08995621860563079,1.133530413150887,2020
2020-07-07,3,3,0.0005177653442417496,1.1341173159154605,2020
2020-07-08,3,3,0.012543803136667808,1.14834346026019,2020
2020-07-09,3,3,0.0012624187643300866,1.1497931505923182,2020
2020-07-10,3,3,-0.04071414768872424,1.102980302447619,2020
2020-07-13,3,3,0.006702118562599502,1.1103726072068347,2020
2020-07-14,3,3,-0.02944148012807768,1.0776815941569928,2020
2020-07-15,3,3,-0.02787517613793289,1.0476410298992584,2020
2020-07-16,3,3,-0.018003979108181894,1.028779322684078,2020
2020-07-17,3,3,0.004335525936243719,1.033239622120246,2020
